Quantity,Value,Unit,Notes
Vehicle case,Two-stage Starship proxy,-,SpaceX Starship IFT-6 (Booster 13 / Ship 31)
Payload,0.0,kg,Nominal case solved in this report
Launch site,"25.997, -97.157",deg,Geodetic latitude/longitude; launch altitude 5 m
Earth / gravity model,Rotating WGS84 ellipsoid + J2,-,"R_eq=6378137 m, f=1/298.257"
Atmosphere model,USSA1976 lookup,-,10 m tabulation to 1000 km
Wind assumption,Corotating atmosphere,-,No explicit local wind model
Aerodynamic model,Cd(M) + crossflow term,-,"A_ref=63.62 m^2, Cd_crossflow=30.0"
Orbit target,420.000,km,Circular target; inclination defaults to |launch latitude| when unspecified
Objective,Maximize final mass,-,Equivalent to minimizing propellant consumed for the nominal ascent
Transcription,Node-based RK4 direct transcription,-,140 nodes per powered phase with piecewise-constant controls
Path constraints,"Altitude, max-Q, max-g, mass, throttle",-,Published limits: 35.0 kPa and 4.0 g
Internal optimization buffer,200 Pa / 0.03 g,-,Small guard bands used so replay respects the published hard limits
Warm start,Deterministic guidance guess,-,Generated by guidance.py before IPOPT solve
Optimizer,IPOPT via CasADi Opti,-,"expand=True, max_iter=2000, tol=1e-6"
Replay integrator,SciPy RK45,-,"Nominal tolerances rtol=1e-09, atol=1e-12"
